Date,Platform,Campaign,Region,Spend,CPM,Impressions,Frequency,Clicks,Purchases,Revenue,Product_Category,Target_Audience,Creative_Type,Video_Completion_Rate,Customer_LTV,Is_Competitive_Event,CTR,CPC,CVR,ROAS
2024-01-01,FB,FB_Athletes_Video_Protein_001,West,-0.08271760328066474,1.2632614860638887,-0.6800934770269299,-0.3676916698749723,-0.38903261666084593,-0.30984197349783604,-0.08970552697447451,Protein,Athletes,Video,-1.5642944979620912,1.159078323716521,True,0.007989690721649484,2.25292220113852,0.028462998102466792,1.0248043864599214
2024-01-01,FB,FB_Athletes_Video_Protein_001,South,-0.11099780157785763,1.2632614860638887,-0.7968766257334894,-0.7092360446970173,-0.4252860228763285,-0.5273063378850816,-0.4861623905724949,Protein,Athletes,Video,-1.5642944979620912,1.159078323716521,True,0.008518426087679894,2.11306640625,0.0234375,0.8024475686067899
2024-01-01,FB,FB_Athletes_Video_Protein_001,Northeast,-0.2272900553346827,1.2632614860638887,-1.2771735037614915,-0.6950050290794317,-0.8313241724897332,-0.7447707022723273,-0.6834695702643434,Protein,Athletes,Video,-1.5642944979620912,1.159078323716521,True,0.009548924358084663,1.8850872093023257,0.02616279069767442,1.0712600428701404
2024-01-01,FB,FB_Athletes_Video_Protein_001,Midwest,-0.2769521227239374,1.2632614860638887,-1.482257079338066,-0.7376980759321871,-1.0053405223240497,-0.962235066659573,-0.9246101526845977,Protein,Athletes,Video,-1.5642944979620912,1.159078323716521,True,0.010565979101114866,1.7036029411764706,0.022058823529411766,1.0416073201260305
2024-01-01,FB,FB_Athletes_Image_Preworkout_002,West,-0.1864742700882976,1.2632614860638887,-1.1085908952443537,0.13039387674050956,-0.6524740351600192,-0.3823300949602512,-0.504291722162811,Preworkout,Athletes,Image,1.9514017423812388e-15,-0.002277167630091578,True,0.009398115880117814,1.915287081339713,0.03349282296650718,1.0644899386702307
2024-01-01,FB,FB_Athletes_Image_Preworkout_002,South,-0.19518102943121896,1.2632614860638887,-1.144553323445537,-0.9653943258135503,-0.6500571414123204,-0.5997944593474969,-0.7687365708494129,Preworkout,Athletes,Image,1.9514017423812388e-15,-0.002277167630091578,True,0.009818624923841215,1.83326968973747,0.026252983293556086,0.8067669955997605
2024-01-01,FB,FB_Athletes_Image_Preworkout_002,Northeast,-0.17766555177618334,1.2632614860638887,-1.072209603486751,-1.2927076850180097,-0.6355557789261274,-0.7447707022723273,-0.8903873429259643,Preworkout,Athletes,Image,1.9514017423812388e-15,-0.002277167630091578,True,0.009179067406751474,1.9609882352941175,0.021176470588235293,0.6152360154543928
2024-01-01,FB,FB_Athletes_Image_Preworkout_002,Midwest,-0.28393899524442034,1.2632614860638887,-1.511118772963752,0.6142484077384059,-1.1092669534750996,-1.1072113095844034,-1.224665376031978,Preworkout,Athletes,Image,1.9514017423812388e-15,-0.002277167630091578,True,0.009425419822192953,1.909781659388646,0.017467248908296942,0.5003887135866831
2024-01-01,FB,FB_FitnessEnth_Carousel_WeightLoss_001,West,-0.04129543048065859,1.2632614860638887,-0.5090176330549128,-0.5669258885211652,0.0508420454203426,0.34255111966390095,0.23745270589594428,WeightLoss,FitnessEnth,Carousel,1.9514017423812388e-15,-0.4463248554979144,True,0.00951205441592766,1.8923413258110016,0.03385049365303244,1.1212816862566801
2024-01-01,FB,FB_FitnessEnth_Carousel_WeightLoss_001,South,0.11754859412959934,1.2632614860638887,0.14698253394936303,-0.4246157323453132,0.5269701137170137,1.4298729416001292,1.3176492352499511,WeightLoss,FitnessEnth,Carousel,1.9514017423812388e-15,-0.4463248554979144,True,0.008433712509076015,2.1343046357615894,0.04304635761589404,1.269155185966654
2024-01-01,FB,FB_FitnessEnth_Carousel_WeightLoss_001,Northeast,0.040247596696759806,1.2632614860638887,-0.17225133369341825,-0.41038471672772764,0.8073297884500789,2.009777913299451,1.8676367432254366,WeightLoss,FitnessEnth,Carousel,1.9514017423812388e-15,-0.4463248554979144,True,0.011179050765141488,1.610156555772994,0.04598825831702544,1.785212508659561
2024-01-01,FB,FB_FitnessEnth_Carousel_WeightLoss_001,Midwest,0.0364268184827937,1.2632614860638887,-0.18802852765189623,-0.9653943258135503,0.2925314201902264,0.9224560913632227,0.8780754983402065,WeightLoss,FitnessEnth,Carousel,1.9514017423812388e-15,-0.4463248554979144,True,0.00892640406046563,2.016489493201483,0.03955500618046971,1.267454975664178
2024-01-01,Google,Google_Athletes_Search_Protein_001,West,-0.1135816565076676,2.768574889521638,-1.0451829311558565,1.8523467664683173,0.10643060161741588,0.2700629982014857,0.47070009124990025,Protein,Athletes,Search,1.9514017423812388e-15,1.9907395451412053,True,0.015360080577471881,1.4648360655737704,0.031420765027322405,1.594268181224703
2024-01-01,Google,Google_Athletes_Search_Protein_001,South,-0.1094523182553545,2.768574889521638,-1.0315598926303944,0.7850205951494285,0.44237883254755433,0.34255111966390095,0.653562947780079,Protein,Athletes,Search,1.9514017423812388e-15,1.9907395451412053,True,0.01801857713233621,1.248737083811711,0.027554535017221583,1.719532937985565
2024-01-01,Google,Google_Athletes_Search_Protein_001,Northeast,-0.17860464754506547,2.768574889521638,-1.26002004383192,-0.6523119822266765,0.20794013902076708,0.4150392411263161,0.8303751114582827,Protein,Athletes,Search,1.9514017423812388e-15,1.9907395451412053,True,0.020984139894265962,1.072248062015504,0.03229974160206718,2.4408497204549837
2024-01-01,Google,Google_Athletes_Search_Protein_001,Midwest,-0.1702788927712334,2.768574889521638,-1.2325146702936884,1.5108023916462736,-0.3092751229867843,-0.5997944593474969,-0.4890967491360466,Protein,Athletes,Search,1.9514017423812388e-15,1.9907395451412053,True,0.014635166213673426,1.5374107142857143,0.019642857142857142,1.005377780358906
2024-01-01,Google,Google_WeightLoss_Search_Diet_001,West,-0.08972057458575708,2.768574889521638,-0.9663567990143836,-1.1503975288421577,0.16926983905758566,-0.019889487648175157,-0.20262146425719713,Diet,WeightLoss,Search,1.9514017423812388e-15,-0.7204760367032657,True,0.014687645326305999,1.5319129287598945,0.025065963060686015,0.96234035773646
2024-01-01,Google,Google_WeightLoss_Search_Diet_001,South,0.02341631738762401,2.768574889521638,-0.5925709396188371,0.2157799704460208,1.6798284313693594,2.5896828849987723,2.3124536557080395,Diet,WeightLoss,Search,1.9514017423812388e-15,-0.7204760367032657,True,0.019659407516915903,1.1445046999276933,0.03976861894432393,2.103048298954418
2024-01-01,Google,Google_WeightLoss_Search_Diet_001,Northeast,0.11220111450850771,2.768574889521638,-0.29922682893952546,-0.3107676074046315,2.030278024785691,1.5748491845249597,1.1742751110168728,Diet,WeightLoss,Search,1.9514017423812388e-15,-0.7204760367032657,True,0.017964846275939098,1.2524541884816753,0.026832460732984294,1.2165016329196603
2024-01-01,Google,Google_WeightLoss_Search_Diet_001,Midwest,-0.07010957180073024,2.768574889521638,-0.9015526230711536,-0.15422643561119456,0.8725859196379475,0.8499679699008075,0.6737963736892211,Diet,WeightLoss,Search,1.9514017423812388e-15,-0.7204760367032657,True,0.01912244563136883,1.1766253574833174,0.029551954242135366,1.5296691188385132
2024-01-01,Google,Google_FitnessEnth_Display_Preworkout_001,West,-0.1241746567806579,2.768574889521638,-1.0801879569423656,-1.0365494039014767,0.7251554010283184,-0.09237760911059037,-0.2928473033450132,Preworkout,FitnessEnth,Display,1.9514017423812388e-15,0.03633567479319712,True,0.021524585521012614,1.0453238866396761,0.018218623481781375,1.0051801932647806
2024-01-01,Google,Google_FitnessEnth_Display_Preworkout_001,South,-0.12865816829437793,2.768574889521638,-1.0950077484861698,-0.8373151852552838,0.5728910949232916,-0.30984197349783604,-0.3378408013194744,Preworkout,FitnessEnth,Display,1.9514017423812388e-15,0.03633567479319712,True,0.0204836352362815,1.0984540540540542,0.016216216216216217,0.9827767771905479
2024-01-01,Google,Google_FitnessEnth_Display_Preworkout_001,Northeast,-0.229157514349374,2.768574889521638,-1.4270468734252126,-0.6950050290794317,-0.05066749198300859,-0.5997944593474969,-0.722571604146092,Preworkout,FitnessEnth,Display,1.9514017423812388e-15,0.03633567479319712,True,0.023394479323769774,0.961784107946027,0.01649175412293853,1.0292902682732927
2024-01-01,Google,Google_FitnessEnth_Display_Preworkout_001,Midwest,-0.2421170359599472,2.768574889521638,-1.4698706855982244,0.457707235944969,-0.5461307102612704,-1.0347231881219883,-1.105914842070565,Preworkout,FitnessEnth,Display,1.9514017423812388e-15,0.03633567479319712,True,0.017523896222121076,1.284004329004329,0.010822510822510822,0.5449166399757253
2024-01-01,TT,TT_Athletes_Video_Protein_001,West,-0.059146299481723535,0.25971921709205564,-0.3001443395869211,-0.5242328416684093,0.31670035766721477,0.6325036055135618,1.2070648619421436,Protein,Athletes,Video,2.9177549035554335,0.32741710229183646,True,0.009634274018045149,1.556947496947497,0.03418803418803419,1.848353906237746
2024-01-01,TT,TT_Athletes_Video_Protein_001,South,-0.027614146693430246,0.25971921709205564,-0.14386834127506912,1.4965713760286874,0.3626213388734927,0.052598633814240056,0.41733570993135316,Protein,Athletes,Video,1.9514017423812388e-15,0.32741710229183646,True,0.00902589289560984,1.6618854415274464,0.02386634844868735,1.1937946088779745
2024-01-01,TT,TT_Athletes_Video_Protein_001,Northeast,-0.12140029956630331,0.25971921709205564,-0.6086672677155397,-1.0934734663718169,0.1209319641036089,0.34255111966390095,0.7348492293835861,Protein,Athletes,Video,2.9177549035554335,0.32741710229183646,True,0.010612444457226672,1.413441734417344,0.032520325203252036,1.8614540992407396
2024-01-01,TT,TT_Athletes_Video_Protein_001,Midwest,-0.0454489169098858,0.25971921709205564,-0.23226849756327947,-0.08307135752326822,0.024256214195655386,-0.45481821642266645,-0.25189139176613684,Protein,Athletes,Video,2.9177549035554335,0.32741710229183646,True,0.007894855901913767,1.8999856733524356,0.01862464183381089,0.8099442764611406
2024-01-01,TT,TT_FitnessEnth_Video_Preworkout_001,West,-0.08677449700223545,0.25971921709205564,-0.43707283076890757,0.6284794233559915,0.3698720201165892,-0.019889487648175157,-0.14946180562913047,Preworkout,FitnessEnth,Video,1.9514017423812388e-15,-0.9289853857890259,True,0.010762182637182637,1.393781212841855,0.022592152199762187,0.9932006449576426
2024-01-01,TT,TT_FitnessEnth_Video_Preworkout_001,South,-0.00853977006205033,0.25971921709205564,-0.04934479870967454,-0.8800082321080391,0.4907167075015311,-0.5273063378850816,-0.6880758308001514,Preworkout,FitnessEnth,Video,1.8332747150313897,-0.9289853857890259,True,0.00913068874701536,1.6428170594837261,0.013468013468013467,0.4718223740392827
2024-01-01,TT,TT_FitnessEnth_Video_Preworkout_001,Northeast,-0.1054061570568567,0.25971921709205564,-0.5294023261340082,0.08770082988775363,0.328784826405709,-0.45481821642266645,-0.4651441943498446,Preworkout,FitnessEnth,Video,1.9514017423812388e-15,-0.9289853857890259,True,0.011208596884989458,1.3382645631067962,0.015776699029126214,0.8040408803605597
